Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,49,SG250013037,1060600164,52.75,76.47
Day 2 (20 June 2026),20 June 2026,12,SG250021840,1060600166,71.39,94.61
Day 2 (20 June 2026),20 June 2026,56,SG250023823,1060600168,51.08,73.04
Day 2 (20 June 2026),20 June 2026,11,SG250028442,1060600170,71.71,95.1
Day 2 (20 June 2026),20 June 2026,45,SG250031959,1060600172,56.4,78.43
Day 2 (20 June 2026),20 June 2026,65,SG250037444,1060600174,47.42,68.63
Day 2 (20 June 2026),20 June 2026,30,SG250054045,1060600175,61.38,85.78
Day 2 (20 June 2026),20 June 2026,130,SG250054172,1060600176,26.77,36.76
Day 2 (20 June 2026),20 June 2026,77,SG250061441,1060600177,43.13,62.75
Day 2 (20 June 2026),20 June 2026,167,SG250071302,1060600179,12.52,18.63
Day 2 (20 June 2026),20 June 2026,159,SG250097604,1060600182,16.82,22.55
Day 2 (20 June 2026),20 June 2026,203,SG250103439,1060600185,-2.41,0.98
Day 2 (20 June 2026),20 June 2026,183,SG250142493,1060600191,7.16,10.78
Day 2 (20 June 2026),20 June 2026,19,SG250010739,1070600194,69.06,91.18
Day 2 (20 June 2026),20 June 2026,92,SG250012969,1070600195,39.14,55.39
Day 2 (20 June 2026),20 June 2026,74,SG250015213,1070600196,43.42,64.22
Day 2 (20 June 2026),20 June 2026,140,SG250025241,1070600199,23.83,31.86
Day 2 (20 June 2026),20 June 2026,114,SG250091075,1070600206,31.82,44.61
Day 2 (20 June 2026),20 June 2026,67,SG250099517,1070600207,47.11,67.65
Day 2 (20 June 2026),20 June 2026,188,SG250099657,1070600208,5.55,8.33
Day 2 (20 June 2026),20 June 2026,185,SG250102919,1070600209,6.51,9.8
Day 2 (20 June 2026),20 June 2026,72,SG250108339,1070600210,44.76,65.2
Day 2 (20 June 2026),20 June 2026,34,SG250115625,1070600212,60.07,83.82
Day 2 (20 June 2026),20 June 2026,25,SG250118345,1070600214,65.72,88.24
Day 2 (20 June 2026),20 June 2026,186,SG250143191,1070600217,6.22,9.31
Day 2 (20 June 2026),20 June 2026,147,SG250143535,1070600218,20.53,28.43
Day 2 (20 June 2026),20 June 2026,111,SG250022870,1080600224,32.75,46.08
Day 2 (20 June 2026),20 June 2026,163,SG250026501,1080600225,15.15,20.59
Day 2 (20 June 2026),20 June 2026,75,SG250031556,1080600226,43.42,63.73
Day 2 (20 June 2026),20 June 2026,27,SG250061667,1080600230,64.08,87.25
Day 2 (20 June 2026),20 June 2026,120,SG250071459,1080600232,30.48,41.67
Day 2 (20 June 2026),20 June 2026,103,SG250072628,1080600233,35.43,50.0
Day 2 (20 June 2026),20 June 2026,200,SG250079107,1080600235,0.13,2.45
Day 2 (20 June 2026),20 June 2026,62,SG250086478,1080600238,49.11,70.1
Day 2 (20 June 2026),20 June 2026,1,SG250091235,1080600239,87.34,100.0
Day 2 (20 June 2026),20 June 2026,57,SG250107663,1080600240,51.08,72.55
Day 2 (20 June 2026),20 June 2026,107,SG250108301,1080600241,34.44,48.04
Day 2 (20 June 2026),20 June 2026,170,SG250112424,1080600242,9.84,17.16
Day 2 (20 June 2026),20 June 2026,35,SG250114229,1080600243,60.07,83.33
Day 2 (20 June 2026),20 June 2026,154,SG250134117,1080600245,18.83,25.0
Day 2 (20 June 2026),20 June 2026,101,SG250136592,1080600246,36.77,50.98
Day 2 (20 June 2026),20 June 2026,50,SG250022921,1090600250,52.74,75.98
Day 2 (20 June 2026),20 June 2026,53,SG250069995,1090600257,52.39,74.51
Day 2 (20 June 2026),20 June 2026,168,SG250070038,1090600258,10.21,18.14
Day 2 (20 June 2026),20 June 2026,79,SG250077618,1090600259,42.38,61.76
Day 2 (20 June 2026),20 June 2026,202,SG250079260,1090600260,-0.47,1.47
Day 2 (20 June 2026),20 June 2026,51,SG250084601,1090600263,52.74,75.49
Day 2 (20 June 2026),20 June 2026,164,SG250088474,1090600264,14.87,20.1
Day 2 (20 June 2026),20 June 2026,98,SG250095965,1090600267,37.73,52.45
Day 2 (20 June 2026),20 June 2026,37,SG250102647,1090600268,59.74,82.35
Day 2 (20 June 2026),20 June 2026,145,SG250106217,1090600269,21.84,29.41
Day 2 (20 June 2026),20 June 2026,166,SG250122079,1090600273,14.16,19.12
Day 2 (20 June 2026),20 June 2026,2,SG250128532,1090600274,81.37,99.51
Day 2 (20 June 2026),20 June 2026,196,SG250129847,1090600275,2.54,4.41
Day 2 (20 June 2026),20 June 2026,85,SG250132571,1090600276,40.44,58.82
Day 2 (20 June 2026),20 June 2026,148,SG250133965,1090600277,20.16,27.94
Day 2 (20 June 2026),20 June 2026,17,SG250135302,1090600278,70.06,92.16
Day 2 (20 June 2026),20 June 2026,142,SG250003938,1100600282,23.12,30.88
Day 2 (20 June 2026),20 June 2026,14,SG250006304,1100600283,71.04,93.63
Day 2 (20 June 2026),20 June 2026,81,SG250011187,1100600286,42.14,60.78
Day 2 (20 June 2026),20 June 2026,118,SG250017239,1100600287,31.15,42.65
Day 2 (20 June 2026),20 June 2026,55,SG250031416,1100600291,51.42,73.53
Day 2 (20 June 2026),20 June 2026,59,SG250032841,1100600293,50.4,71.57
Day 2 (20 June 2026),20 June 2026,28,SG250033277,1100600294,62.72,86.76
Day 2 (20 June 2026),20 June 2026,189,SG250058078,1100600299,5.53,7.84
Day 2 (20 June 2026),20 June 2026,23,SG250064877,1100600301,67.39,89.22
Day 2 (20 June 2026),20 June 2026,116,SG250066026,1100600302,31.79,43.63
Day 2 (20 June 2026),20 June 2026,132,SG250070479,1100600303,26.13,35.78
Day 2 (20 June 2026),20 June 2026,155,SG250071752,1100600304,18.53,24.51
Day 2 (20 June 2026),20 June 2026,110,SG250078528,1100600305,32.81,46.57
Day 2 (20 June 2026),20 June 2026,83,SG250079317,1100600306,40.46,59.8
Day 2 (20 June 2026),20 June 2026,129,SG250094606,1100600310,26.82,37.25
Day 2 (20 June 2026),20 June 2026,187,SG250100666,1100600311,6.15,8.82
Day 2 (20 June 2026),20 June 2026,199,SG250106437,1100600312,0.89,2.94
Day 2 (20 June 2026),20 June 2026,175,SG250134366,1100600316,8.81,14.71
Day 2 (20 June 2026),20 June 2026,178,SG250143738,1100600317,8.16,13.24
Day 2 (20 June 2026),20 June 2026,68,SG250010604,1110600321,47.11,67.16
Day 2 (20 June 2026),20 June 2026,10,SG250017215,1110600324,73.38,95.59
