Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,2358,SG250125332,1010800144,14.17,14.45
Day 2 (20 June 2026),20 June 2026,1963,SG250127307,1010800145,24.52,28.78
Day 2 (20 June 2026),20 June 2026,618,SG250130545,1010800149,48.78,77.6
Day 2 (20 June 2026),20 June 2026,1953,SG250130596,1010800150,24.81,29.15
Day 2 (20 June 2026),20 June 2026,2709,SG250134586,1010800155,-0.45,1.71
Day 2 (20 June 2026),20 June 2026,1181,SG250140545,1010800157,38.41,57.17
Day 2 (20 June 2026),20 June 2026,2189,SG250141826,1010800159,19.2,20.58
Day 2 (20 June 2026),20 June 2026,1997,SG250142840,1010800160,23.81,27.55
Day 2 (20 June 2026),20 June 2026,1717,SG250144789,1010800162,28.83,37.71
Day 2 (20 June 2026),20 June 2026,1487,SG250146652,1010800165,32.16,46.06
Day 2 (20 June 2026),20 June 2026,1523,SG250147686,1010800168,31.8,44.75
Day 2 (20 June 2026),20 June 2026,2102,SG250150364,1010800171,21.47,23.74
Day 2 (20 June 2026),20 June 2026,1512,SG250004040,1020800173,32.11,45.15
Day 2 (20 June 2026),20 June 2026,1622,SG250004270,1020800174,30.45,41.16
Day 2 (20 June 2026),20 June 2026,913,SG250005660,1020800175,43.45,66.9
Day 2 (20 June 2026),20 June 2026,63,SG250009318,1020800177,67.4,97.75
Day 2 (20 June 2026),20 June 2026,813,SG250010272,1020800178,45.41,70.53
Day 2 (20 June 2026),20 June 2026,181,SG250010393,1020800179,60.4,93.47
Day 2 (20 June 2026),20 June 2026,2134,SG250010501,1020800180,20.72,22.58
Day 2 (20 June 2026),20 June 2026,247,SG250013338,1020800184,57.76,91.07
Day 2 (20 June 2026),20 June 2026,2599,SG250013504,1020800185,5.84,5.7
Day 2 (20 June 2026),20 June 2026,2578,SG250013680,1020800186,6.87,6.46
Day 2 (20 June 2026),20 June 2026,1342,SG250015484,1020800188,34.83,51.32
Day 2 (20 June 2026),20 June 2026,1834,SG250015771,1020800191,26.84,33.47
Day 2 (20 June 2026),20 June 2026,1044,SG250017451,1020800193,40.79,62.14
Day 2 (20 June 2026),20 June 2026,984,SG250018928,1020800194,42.11,64.32
Day 2 (20 June 2026),20 June 2026,145,SG250019860,1020800196,62.07,94.77
Day 2 (20 June 2026),20 June 2026,1708,SG250019932,1020800197,29.12,38.04
Day 2 (20 June 2026),20 June 2026,773,SG250021322,1020800199,46.07,71.98
Day 2 (20 June 2026),20 June 2026,1869,SG250023267,1020800200,26.16,32.2
Day 2 (20 June 2026),20 June 2026,2233,SG250025664,1020800204,17.85,18.98
Day 2 (20 June 2026),20 June 2026,2269,SG250027973,1020800208,16.85,17.68
Day 2 (20 June 2026),20 June 2026,711,SG250028310,1020800209,47.07,74.23
Day 2 (20 June 2026),20 June 2026,52,SG250028492,1020800210,68.07,98.15
