Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,78,SG250070581,1041200223,37.76,78.43
Day 2 (20 June 2026),20 June 2026,286,SG250071556,1041200225,11.03,20.17
Day 2 (20 June 2026),20 June 2026,252,SG250073682,1041200226,16.76,29.69
Day 2 (20 June 2026),20 June 2026,24,SG250080683,1041200231,48.77,93.56
Day 2 (20 June 2026),20 June 2026,29,SG250081089,1041200232,46.72,92.16
Day 2 (20 June 2026),20 June 2026,53,SG250081472,1041200233,40.46,85.43
Day 2 (20 June 2026),20 June 2026,217,SG250082191,1041200234,21.47,39.5
Day 2 (20 June 2026),20 June 2026,149,SG250082779,1041200235,28.78,58.54
Day 2 (20 June 2026),20 June 2026,13,SG250090315,1041200238,52.4,96.64
Day 2 (20 June 2026),20 June 2026,240,SG250095740,1041200239,18.46,33.05
Day 2 (20 June 2026),20 June 2026,117,SG250098098,1041200242,32.13,67.51
Day 2 (20 June 2026),20 June 2026,157,SG250109895,1041200247,28.12,56.3
Day 2 (20 June 2026),20 June 2026,354,SG250116567,1041200250,-4.74,1.12
Day 2 (20 June 2026),20 June 2026,173,SG250123737,1041200253,25.82,51.82
Day 2 (20 June 2026),20 June 2026,44,SG250129949,1041200256,43.74,87.96
Day 2 (20 June 2026),20 June 2026,74,SG250132662,1041200258,38.12,79.55
Day 2 (20 June 2026),20 June 2026,341,SG250140839,1041200261,1.23,4.76
Day 2 (20 June 2026),20 June 2026,43,SG250003913,1051200265,44.07,88.24
Day 2 (20 June 2026),20 June 2026,314,SG250004831,1051200266,7.21,12.32
Day 2 (20 June 2026),20 June 2026,128,SG250008232,1051200268,31.39,64.43
Day 2 (20 June 2026),20 June 2026,10,SG250009750,1051200269,53.06,97.48
Day 2 (20 June 2026),20 June 2026,129,SG250012353,1051200270,31.39,64.15
Day 2 (20 June 2026),20 June 2026,187,SG250025291,1051200275,25.18,47.9
Day 2 (20 June 2026),20 June 2026,103,SG250025803,1051200276,33.5,71.43
Day 2 (20 June 2026),20 June 2026,324,SG250044615,1051200287,5.84,9.52
Day 2 (20 June 2026),20 June 2026,249,SG250049018,1051200288,17.46,30.53
Day 2 (20 June 2026),20 June 2026,131,SG250052233,1051200289,31.11,63.59
Day 2 (20 June 2026),20 June 2026,66,SG250055224,1051200290,39.08,81.79
Day 2 (20 June 2026),20 June 2026,190,SG250066098,1051200291,25.06,47.06
